,Signature.1,Signature.3,Signature.5,Signature.6,Signature.15,Others
HXIDCP-00-IDCP,0.267741657691801,0.537653555388785,0,0,0.0881427692996479,0.106462017619766
HXIDCP-00-PCA,0,0.615687358772502,0,0.231593074234586,0,0.152719566992913
HXIDCP-01-IDCP,0.578753931839048,0,0,0.138788155665954,0,0.282457912494998
HXIDCP-01-PCA,0.679542579132532,0,0,0,0.196707737808197,0.123749683059271
HXIDCP-02-IDCP,0.498607040544517,0,0,0,0.181467237640744,0.319925721814738
HXIDCP-02-PCA,0.399103145463844,0,0.19164651858539,0.133486456767951,0,0.275763879182815
HXIDCP-03-IDCP,0.433154367815343,0,0,0,0,0.566845632184657
HXIDCP-03-PCA,0.426273257434598,0.227521940563977,0,0,0,0.346204802001425
HXIDCP-04-IDCP,0.371842574107252,0.439076451354442,0,0,0.189080974538307,0
HXIDCP-04-PCA,0.302287367068781,0.470046625220206,0,0,0.0932586937660847,0.134407313944929
HXIDCP-05-IDCP,0.402151598763968,0.121929643191092,0,0.189732187790466,0.221863680469549,0.0643228897849254
HXIDCP-05-PCA,0.261648449187372,0.173756030024762,0,0.149559137789242,0,0.415036382998624
HXIDCP-06-IDCP,0.248510263333768,0,0,0,0,0.751489736666232
HXIDCP-06-PCA,0,0.422994226372671,0,0.298675683857173,0,0.278330089770155
HXIDCP-07-IDCP,0.473103216681749,0.124877381612868,0,0,0.176575196301578,0.225444205403805
HXIDCP-07-PCA,0,0.236486691486773,0,0.337052873150572,0.0978357736725873,0.328624661690068
HXIDCP-08-IDCP,0.481257583943249,0.259074298069755,0,0,0,0.259668117986997
HXIDCP-08-PCA,0.504498629869077,0,0,0,0.375227440174553,0.12027392995637
HXIDCP-09-IDCP,0.175114972843747,0.0932953783815325,0.236634097331008,0,0.0992988161184684,0.395656735325244
HXIDCP-09-PCA,0.202562389091339,0.0732615358292622,0,0.149006614749844,0.159596811081221,0.415572649248334
HXIDCP-10-IDCP,0.20722771569816,0,0.104146507801344,0,0,0.688625776500496
HXIDCP-10-PCA,0.201785897054991,0,0,0,0,0.798214102945009
HXIDCP-11-IDCP,0.596486847186797,0,0.206607676243016,0,0.11975302759232,0.0771524489778674
HXIDCP-11-PCA,0.546939254007122,0.371535674798205,0,0,0,0.0815250711946727
HXIDCP-13-IDCP,0.446681658823878,0,0,0,0,0.553318341176122
HXIDCP-13-PCA,0.413353841576608,0.107573560175646,0,0,0,0.479072598247747
HXIDCP-14-IDCP,0.232356688060819,0,0.129477479976695,0,0,0.638165831962485
HXIDCP-14-PCA,0.388777459511534,0.188740212631896,0,0,0,0.42248232785657
HXIDCP-15-IDCP,0.277928042424523,0.522610725712689,0,0,0,0.199461231862787
HXIDCP-15-PCA,0,0.792695354589416,0,0.131536326750356,0,0.0757683186602285
HXIDCP-16-IDCP,0.288904822162549,0.104407016166928,0.31478878033282,0,0,0.291899381337703
HXIDCP-16-PCA,0.340171060342435,0,0.430573449081973,0,0,0.229255490575592
HXIDCP-17-IDCP,0.196107145860238,0.405633980420823,0,0,0,0.39825887371894
HXIDCP-17-PCA,0.239266278814986,0.197403461905619,0,0,0,0.563330259279395
HXIDCP-18-IDCP,0.468919018851318,0.452645115460218,0,0,0,0.0784358656884639
HXIDCP-18-PCA,0.0998028419854857,0.332388470615553,0,0.386038596914066,0,0.181770090484896
HXIDCP-19-IDCP,0.196427148214571,0.304489601015479,0,0,0,0.49908325076995
HXIDCP-19-PCA,0,0.396188377984059,0,0.271615113578011,0,0.33219650843793
HXIDCP-20-IDCP,0.243187271768256,0.232689099455707,0.0872031239107283,0.240889168607001,0,0.196031336258307
HXIDCP-20-PCA,0.468812277046246,0,0,0.168530231039373,0,0.362657491914381
HXIDCP-21-IDCP,0,0,0.397006361489242,0,0.354024488169166,0.248969150341592
HXIDCP-21-PCA,0.171672784069196,0,0.479716148042759,0,0,0.348611067888045
HXIDCP-22-IDCP,0.240528569692553,0.218135092338112,0,0,0,0.541336337969334
HXIDCP-22-PCA,0.382599033276249,0,0,0,0,0.617400966723751
